"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000594.8",433.981731954152,-2.69535113771877,0.338695520179249,-7.95803598551375,1.7479152446286e-15,1.34863656619873e-13
"ENSMUSG00000080158.3",40.638901926424,2.18218170750731,0.274353978452002,7.95389124597323,1.8074280232048e-15,1.39152311829995e-13
"ENSMUSG00000100843.2",56.9565498115688,1.27345716355652,0.160128402783358,7.95272507201242,1.82452944327879e-15,1.40164230441906e-13
"ENSMUSG00000032103.11",9.48615765882794,-5.43250951956308,0.683610137096904,-7.94679485391102,1.91398978682515e-15,1.46718502814746e-13
"ENSMUSG00000078494.6",32.3530842862022,-2.19632387504486,0.277079744029939,-7.92668508747988,2.2507308512864e-15,1.72159034769563e-13
"ENSMUSG00000028456.19",53.0568287166505,-2.56775536652551,0.324048243549548,-7.92399100331149,2.30006272948078e-15,1.7555327923397e-13
"ENSMUSG00000085579.2",7.3715864138134,-3.65290557871071,0.461782006797505,-7.91045455418217,2.56450782348797e-15,1.95316224879196e-13
"ENSMUSG00000029306.9",16.807439133084,-2.78630152179355,0.352947778397747,-7.89437331052865,2.91777607561764e-15,2.2174472042489e-13
"ENSMUSG00000110646.2",3.50904422523411,-4.16686404046904,0.528419743324031,-7.88551921670702,3.13230380777635e-15,2.37538628163596e-13
"ENSMUSG00000094430.3",123.772150161417,1.788755208174,0.227082749142833,7.87710741976658,3.35046856113936e-15,2.5354026515545e-13
"ENSMUSG00000108431.2",3.68653312979608,4.6284380718358,0.587901930912423,7.87280637886743,3.46773118308586e-15,2.6185437068014e-13
"ENSMUSG00000025165.13",1180.58093079094,2.40658762427375,0.305951671394758,7.86590775367467,3.66430493338619e-15,2.76109274927387e-13
"ENSMUSG00000026496.12",17.2441344802705,-2.71480666464576,0.34532519490076,-7.86159453388839,3.79274030731587e-15,2.85180250495948e-13
"ENSMUSG00000027900.16",26.4672272122468,-2.61441540612365,0.332579370285986,-7.86102698996485,3.80996674496159e-15,2.8586858532376e-13
"ENSMUSG00000019794.14",29.213305284757,1.88924742797323,0.240380877518791,7.8593915101485,3.86003981383437e-15,2.89013340395231e-13
"ENSMUSG00000021335.14",6.64551136543111,-3.55451443216144,0.452805487805436,-7.84998090325435,4.16100624731634e-15,3.10890371832718e-13
"ENSMUSG00000006728.13",125.207344745941,2.17377134817615,0.277148199410451,7.84335367431643,4.38670222716023e-15,3.27063282894483e-13
"ENSMUSG00000086150.2",30.5492666338645,-2.26679644819705,0.289052805995463,-7.84215340996422,4.42884819168516e-15,3.2951188804313e-13
"ENSMUSG00000046957.6",39.2585803998066,-2.17573176376919,0.277500783753371,-7.84045268031702,4.48925084133661e-15,3.33305699257728e-13
"ENSMUSG00000033253.19",98.3647899539503,-3.8394000250263,0.490597165322078,-7.8259727051332,5.03746632166258e-15,3.73225668999331e-13
"ENSMUSG00000000804.15",725.210423006264,2.44892853258777,0.313427090390107,7.81339140002131,5.56693816741461e-15,4.11593142377846e-13
"ENSMUSG00000020635.9",88.0735182306861,1.76092720026042,0.225800510397314,7.79859707651646,6.25991882437511e-15,4.61864635760926e-13
